assessmentId,SCI_NAME,Phylacine ,Phylogeny,,Total_Geo_Area_KM2,Current_Area_KM2,Extinct_Area_KM2,Scaled_Log_Current_Area_KM2,CurrentArea_TotalArea,Scaled_CurrentArea_TotalArea,Area.Method,Area.Source,Body_Mass_g,Scaled_Log_Mass_g,Mass.Method,Body_Mass_Source,Brain_mass_g,Scaled_Log_Brain_Mass_g,BrainMass_Method,BrainMass_Source,Generation_time_d,Scaled_Log_Generation_time_d,Generation_time_Method,Generation_time_Source,IUCN_Threats:,IUCNredlist_status,1_Residential_&_commercial_development,2_Agriculture_&_aquaculture,3_Energy_production_&_mining,4_Transportation_&_service_corridors,5_Biological_resource_use,6_Human_intrusions_&_disturbance,7_Natural_system_modifications,"8_Invasive_and_other_problematic_species,_genes_&_diseases",9_Pollution,10_Geological_events,11_Climate_change_&_severe_weather,12_Other_options
22460376,Arvicanthis_ansorgei,Arvicanthis_ansorgei,Arvicanthis_ansorgei,,767197.7813,767197.7813,0,-0.353301497,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,113.5,-0.143441582,Imputed,PHYLACINE 1.2.1,1.332440689,-0.50610419,Imputed_825,COMBINE,684.5630002,-1.170171237,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115060432,Arvicanthis_niloticus,Arvicanthis_niloticus,Arvicanthis_niloticus,,6759311.616,6050974.902,0,0.577669558,0.895205791,-0.429062897,Extraction of polygon shapefile using R packages,IUCN Red List,106.9,-0.143444521,Reported,PHYLACINE 1.2.1,1.33,-0.50673304,Imputed_825,COMBINE,751.795,-1.050664212,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115174097,Atelerix_albiventris,Atelerix_albiventris,Atelerix_albiventris,,7772231.81,7772231.81,0,0.690517709,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,600,-0.143224975,Reported,PHYLACINE 1.2.1,1.906688,-0.383191095,Imputed_825,COMBINE,1335.15805,-0.318003908,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
45204865,Atilax_paludinosus,Atilax_paludinosus,Atilax_paludinosus,,15006480.79,15006480.79,0,0.987099171,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,3300,-0.142022836,Reported,PHYLACINE 1.2.1,29.5075584,0.556360213,Imputed_825,COMBINE,2228.517895,0.33549675,Imputed_825,COMBINE,,Least Concern,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
50349178,Balaenoptera_edeni,Balaenoptera_edeni,Balaenoptera_edeni,,70914.44817,70914.44817,0,-1.426738256,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,20000000,8.761241057,Reported,PHYLACINE 1.2.1,5444.806991,2.34601514,Imputed_825,COMBINE,10042.4483,2.255972537,Imputed_825,COMBINE,,Least Concern,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No
45205243,Bdeogale_nigripes,Bdeogale_nigripes,Bdeogale_nigripes,,2140082.346,2140082.346,0,0.109136705,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,2500,-0.142379025,Reported,PHYLACINE 1.2.1,27.21745728,0.528650602,Imputed_825,COMBINE,1933.932222,0.154632857,Imputed_825,COMBINE,,Least Concern,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
118265889,Canis_lupaster,Canis aureus,Canis_anthus,,17779975.81,17779975.81,0,1.063547818,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,10345,-0.138886144,Reported,Inferred from close relative Canis_aureus,75.31013333,0.877733037,From close relative,Inferred,2136.101433,0.281467304,From close relative,Inferred,,Least Concern,Yes,Yes,No,No,No,No,No,No,No,No,No,No
50663128,Caracal_aurata,Caracal_aurata,Caracal_aurata,,4309763.914,4272404.289,37359.62489,0.420777764,0.991331399,0.173502441,Extraction of polygon shapefile using R packages,IUCN Red List,10650,-0.138750346,Reported,PHYLACINE 1.2.1,60.05692,0.800106379,Imputed_825,COMBINE,1825,0.080676397,Imputed_825,COMBINE,,Vulnerable,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
102424310,Caracal_caracal,Caracal_caracal,Caracal_caracal,,20098490.2,20098490.2,0,1.118801141,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,13749.9,-0.137370157,Reported,PHYLACINE 1.2.1,57.51942857,0.785299404,Imputed_825,COMBINE,2239.8225,0.3419514,Imputed_825,COMBINE,,Least Concern,No,Yes,No,No,Yes,No,No,No,No,No,No,No
214846046,Casinycteris_campomaanensis,Scotonycteris_ophiodon ,Casinycteris_campomaanensis,,NA,NA,NA,NA,NA,NA,Extraction of polygon shapefile using R packages,IUCN Red List,49,-0.1434703,Reported,"Hassanin, A. (2014). Description of a new bat species of the tribe Scotonycterini (Chiroptera, Pteropodidae) from southwestern Cameroon. Comptes Rendus Biologies, 337(2), 134-142.",0.92,-0.633146443,From close relative,Inferred,1314.75793,-0.337645281,From close relative,Inferred,,Data Deficient,No,No,No,No,No,No,No,No,No,No,No,No
166523704,Cephalophus_dorsalis,Cephalophus_dorsalis,Cephalophus_dorsalis,,3716348.863,3716348.863,0,0.357922789,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,20000,-0.134587384,Reported,PHYLACINE 1.2.1,93,0.950099181,Imputed_825,COMBINE,2362.6281,0.410043192,Imputed_825,COMBINE,,Near Threatened,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
50183437,Cephalophus_niger,Cephalophus_niger,Cephalophus_niger,,862936.6379,862936.6379,0,-0.300290906,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,20400,-0.134409289,Reported,PHYLACINE 1.2.1,87.56118368,0.929429886,Imputed_825,COMBINE,1571.426333,-0.110156592,Imputed_825,COMBINE,,Least Concern,Yes,No,No,No,Yes,No,No,No,No,No,No,No
50183573,Cephalophus_nigrifrons,Cephalophus_nigrifrons,Cephalophus_nigrifrons,,3244184.576,3244184.576,0,0.296671417,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,13899.8,-0.137303416,Reported,PHYLACINE 1.2.1,83,0.911080768,Imputed_825,COMBINE,2407.975,0.43429533,Imputed_825,COMBINE,,Least Concern,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
50183770,Cephalophus_ogilbyi,Cephalophus_ogilbyi,Cephalophus_ogilbyi,,542852.7872,542751.6042,101.1829982,-0.509314354,0.999813609,0.226673348,Extraction of polygon shapefile using R packages,IUCN Red List,20000,-0.134587384,Reported,PHYLACINE 1.2.1,85.26502533,0.920315402,Imputed_825,COMBINE,1965.47,0.17526789,Imputed_825,COMBINE,,Least Concern,Yes,No,No,No,Yes,No,No,No,No,No,No,No
50183959,Cephalophus_rufilatus,Cephalophus_rufilatus,Cephalophus_rufilatus,,3156669.101,3156669.101,0,0.284344009,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,12000,-0.138149277,Reported,PHYLACINE 1.2.1,78.49727046,0.891949775,Imputed_825,COMBINE,1770.8773,0.042272966,Imputed_825,COMBINE,,Least Concern,No,Yes,No,No,Yes,No,No,No,No,No,No,No
50184147,Cephalophus_silvicultor,Cephalophus_silvicultor,Cephalophus_silvicultor,,6434129.414,6434129.414,0,0.60534636,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,72500.3,-0.111212325,Reported,PHYLACINE 1.2.1,173.33,1.163645385,Imputed_825,COMBINE,2275.945333,0.362360417,Imputed_825,COMBINE,,Near Threatened,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
154210757,Cercocebus_torquatus,Cercocebus_torquatus,Cercocebus_torquatus,,267508.4304,267508.4304,0,-0.828243792,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,8135.4,-0.139869938,Reported,PHYLACINE 1.2.1,113.82532,1.019406076,Imputed_825,COMBINE,3285,0.830488359,Imputed_825,COMBINE,,Endangered,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
17946182,Cercopithecus_erythrogaster,Cercopithecus_erythrogaster,Cercopithecus_erythrogaster,,76168.68716,76168.68716,0,-1.39451796,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,2500,-0.142379025,Reported,PHYLACINE 1.2.1,66.95346868,0.837391383,Imputed_825,COMBINE,3285,0.830488359,Imputed_825,COMBINE,,Endangered,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
17946043,Cercopithecus_erythrotis,Cercopithecus_erythrotis,Cercopithecus_erythrotis,,55323.62672,55323.62672,0,-1.538656069,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,3918.3,-0.141747546,Reported,PHYLACINE 1.2.1,74.03256,0.871864542,Imputed_825,COMBINE,3285,0.830488359,Imputed_825,COMBINE,,Vulnerable,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
17946672,Cercopithecus_mona,Cercopithecus_mona,Cercopithecus_mona,,666795.736,665920.8612,0,-0.417120588,0.998687942,0.219617081,Extraction of polygon shapefile using R packages,IUCN Red List,4208.3,-0.141618427,Reported,PHYLACINE 1.2.1,65.76559333,0.831251453,Imputed_825,COMBINE,3942.337522,1.063176662,Imputed_825,COMBINE,,Near Threatened,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
222904443,Cercopithecus_nictitans,Cercopithecus_nictitans,Cercopithecus_nictitans,,1373816.413,1373816.413,0,-0.090673741,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,5803.3,-0.140908275,Reported,PHYLACINE 1.2.1,66.8,0.836604284,Imputed_825,COMBINE,4274.28285,1.166303667,Imputed_825,COMBINE,,Near Threatened,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
17945814,Cercopithecus_sclateri,Cercopithecus_sclateri,Cercopithecus_sclateri,,35375.9954,35375.9954,0,-1.740231256,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,3375,-0.141989443,Reported,PHYLACINE 1.2.1,75.57383823,0.878931956,Imputed_825,COMBINE,3285,0.830488359,Imputed_825,COMBINE,,Endangered,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No
17958272,Chlorocebus_tantalus,Chlorocebus_tantalus,Chlorocebus_tantalus,,4059571.911,4059571.911,0,0.397743099,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,4650,-0.141421766,Reported,PHYLACINE 1.2.1,65.86210625,0.831754435,Imputed_825,COMBINE,4228.902621,1.152687597,Imputed_825,COMBINE,,Least Concern,No,Yes,No,No,Yes,No,No,No,No,No,No,No
18567171,Choeropsis_liberiensis,Choeropsis_liberiensis,Choeropsis_liberiensis,,180708.0866,164671.1866,16036.89995,-1.046963993,0.911255217,-0.328456742,Extraction of polygon shapefile using R packages,IUCN Red List,235001.2,-0.038860968,Reported,PHYLACINE 1.2.1,260,1.30272336,Imputed_825,COMBINE,5062.938695,1.382310988,Imputed_825,COMBINE,,Endangered,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
147992107,Civettictis_civetta,Civettictis_civetta,Civettictis_civetta,,16392953.64,16392953.64,0,1.026934626,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,12000,-0.138149277,Reported,PHYLACINE 1.2.1,38.95325714,0.651614622,Imputed_825,COMBINE,3244.5411,0.814679533,Imputed_825,COMBINE,,Least Concern,No,No,No,No,Yes,No,No,No,No,No,No,No
22089365,Coleura_afra,Coleura_afra,Coleura_afra,,3116054.574,3001290.857,114763.7173,0.261590768,0.963170184,-0.00302671,Extraction of polygon shapefile using R packages,IUCN Red List,10.7,-0.143487353,Reported,PHYLACINE 1.2.1,0.2585,-1.068567517,Imputed_825,COMBINE,1198.041643,-0.456235498,Imputed_825,COMBINE,,Least Concern,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
17944705,Colobus_guereza,Colobus_guereza,Colobus_guereza,,2733275.205,2733275.205,0,0.219423656,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,16498,-0.136146602,Reported,PHYLACINE 1.2.1,76.619264,0.883644108,Imputed_825,COMBINE,4509.575,1.234661562,Imputed_825,COMBINE,,Least Concern,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes
169472127,Colobus_vellerosus,Colobus_vellerosus,Colobus_vellerosus,,514319.5967,512946.7764,1372.820367,-0.534774444,0.997330803,0.211109828,Extraction of polygon shapefile using R packages,IUCN Red List,11505.2,-0.13836958,Reported,PHYLACINE 1.2.1,75.701556,0.879511114,Imputed_825,COMBINE,3650,0.964891841,Imputed_825,COMBINE,,Critically Endangered,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
115072329,Cricetomys_emini,Cricetomys_emini,Cricetomys_emini,,3854171.763,3854171.763,0,0.374337807,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,1300,-0.142913309,Reported,PHYLACINE 1.2.1,5.58,-0.014878818,Imputed_825,COMBINE,1023.798049,-0.656728603,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
243173564,Cricetomys_gambianus,Cricetomys_gambianus,Cricetomys_gambianus,,4448931.654,4448931.654,0,0.439028739,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,1271,-0.142926221,Reported,PHYLACINE 1.2.1,6.57,0.041140407,Imputed_825,COMBINE,1040.3061,-0.636323628,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
22300242,Crocidura_attila,Crocidura_attila,Crocidura_attila,,843742.4201,843742.4201,0,-0.310430828,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,5,-0.143489891,Reported,PHYLACINE 1.2.1,0.346016668,-0.968553985,Imputed_825,COMBINE,440.4658262,-1.732667745,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
22295963,Crocidura_buettikoferi,Crocidura_buettikoferi,Crocidura_buettikoferi,,49706.98969,49706.98969,0,-1.586914443,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,11,-0.143487219,Reported,PHYLACINE 1.2.1,0.255719058,-1.072277418,Imputed_825,COMBINE,434.9232675,-1.748821653,Imputed_825,COMBINE,,Least Concern,No,Yes,No,No,Yes,No,No,No,No,No,No,No
115175904,Crocidura_crossei,Crocidura_crossei,Crocidura_crossei,,1241588.204,1241588.204,0,-0.136293544,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,6.9,-0.143489045,Reported,PHYLACINE 1.2.1,0.411725074,-0.90891831,Imputed_825,COMBINE,443.6376125,-1.723514706,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
22295053,Crocidura_douceti,Crocidura_douceti,Crocidura_douceti,,119933.9731,119933.9731,0,-1.189866471,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,4.3,-0.143490202,Reported,PHYLACINE 1.2.1,0.200228506,-1.156180234,Imputed_825,COMBINE,463.6637807,-1.667192526,Imputed_825,COMBINE,,Least Concern,No,Yes,No,No,Yes,No,No,No,No,No,No,No
115078628,Crocidura_foxi,Crocidura_foxi,Crocidura_foxi,,1817772.802,1817772.802,0,0.035554327,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,19,-0.143483657,Reported,PHYLACINE 1.2.1,0.435312395,-0.889810868,Imputed_825,COMBINE,518.7015606,-1.524103764,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115176689,Crocidura_fulvastra,Crocidura_fulvastra,Crocidura_fulvastra,,4516831.387,4516831.387,0,0.445856634,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,12.7,-0.143486462,Reported,PHYLACINE 1.2.1,0.254058641,-1.074511772,Imputed_825,COMBINE,420.19336,-1.792773817,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115176835,Crocidura_fuscomurina,Crocidura_fuscomurina,Crocidura_fuscomurina,,10604227.9,10604227.9,0,0.830573993,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,3.9,-0.14349038,Reported,PHYLACINE 1.2.1,0.13,-1.304327079,Imputed_825,COMBINE,471.4067736,-1.646065565,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
22307684,Crocidura_grandiceps,Crocidura_grandiceps,Crocidura_grandiceps,,36267.00966,35949.52464,317.4850264,-1.732981595,0.9912459,0.172966489,Extraction of polygon shapefile using R packages,IUCN Red List,23,-0.143481876,Reported,PHYLACINE 1.2.1,1.162915882,-0.552779197,Imputed_825,COMBINE,572.0858665,-1.399140255,Imputed_825,COMBINE,,Least Concern,No,No,No,No,Yes,No,No,No,No,No,No,No
22308096,Crocidura_lamottei,Crocidura_lamottei,Crocidura_lamottei,,1753793.773,1753793.773,0,0.019402446,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,20.5,-0.143482989,Reported,PHYLACINE 1.2.1,0.532686765,-0.820571149,Imputed_825,COMBINE,453.2593685,-1.69614368,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115074897,Crocidura_longipes,Crocidura_longipes,Crocidura_longipes,,833.2099412,833.2099412,0,-3.429993575,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,19.3,-0.143483524,Reported,PHYLACINE 1.2.1,0.353305258,-0.961404144,Imputed_825,COMBINE,438.7202587,-1.737733207,Imputed_825,COMBINE,,Data Deficient,No,No,No,No,No,No,No,No,No,No,No,No
115178805,Crocidura_lusitania,Crocidura_lusitania,Crocidura_lusitania,,2291916.213,2291916.213,0,0.140035161,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,2,-0.143491226,Reported,PHYLACINE 1.2.1,0.14634495,-1.263705805,Imputed_825,COMBINE,451.1901468,-1.701980632,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115179768,Crocidura_nanilla,Crocidura_nanilla,Crocidura_nanilla,,937844.1743,937844.1743,0,-0.262766565,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,6.5,-0.143489223,Reported,PHYLACINE 1.2.1,0.229989426,-1.108650398,Imputed_825,COMBINE,459.0536348,-1.67993965,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115179933,Crocidura_nigeriae,Crocidura_nigeriae,Crocidura_nigeriae,,231388.8678,231388.8678,0,-0.893630518,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,23,-0.143481876,Reported,PHYLACINE 1.2.1,0.356280994,-0.958527368,Imputed_825,COMBINE,466.8687242,-1.658405272,Imputed_825,COMBINE,,Least Concern,No,Yes,No,No,Yes,No,No,No,No,No,No,No
115180235,Crocidura_olivieri,Crocidura_olivieri,Crocidura_olivieri,,16935592.07,16935592.07,0,1.041614769,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,58,-0.143466293,Reported,PHYLACINE 1.2.1,0.44,-0.886137145,Imputed_825,COMBINE,458.8463905,-1.680515686,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115180564,Crocidura_parvipes,Crocidura_parvipes,Crocidura_parvipes,,5824546.247,5824546.247,0,0.560477452,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,12.6,-0.143486507,Reported,PHYLACINE 1.2.1,0.271474843,-1.05176989,Imputed_825,COMBINE,435.2631505,-1.747825148,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115180837,Crocidura_planiceps,Crocidura_planiceps,Crocidura_planiceps,,486030.9785,336.9714267,0,-3.838081992,0.000693313,-6.036332643,Extraction of polygon shapefile using R packages,IUCN Red List,2.5,-0.143491004,Reported,PHYLACINE 1.2.1,0.218227494,-1.126655865,Imputed_825,COMBINE,458.7559619,-1.680767114,Imputed_825,COMBINE,,Data Deficient,No,No,No,No,No,No,No,No,No,No,No,No
115180968,Crocidura_poensis,Crocidura_poensis,Crocidura_poensis,,1183232.088,1183232.088,0,-0.157994978,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,16.6,-0.143484726,Reported,PHYLACINE 1.2.1,0.403823633,-0.915564676,Imputed_825,COMBINE,464.0859464,-1.666031573,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115181785,Crocidura_viaria,Crocidura_viaria,Crocidura_viaria,,9024603.804,9024603.804,0,0.757863481,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,17,-0.143484548,Reported,PHYLACINE 1.2.1,0.347696832,-0.966892538,Imputed_825,COMBINE,418.0268545,-1.799368065,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
22309454,Crocidura_virgata,Crocidura_virgata,Crocidura_virgata,,85.12734651,85.12734651,0,-4.458292002,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,7,-0.143489,Reported,PHYLACINE 1.2.1,0.248760145,-1.081740661,Imputed_825,COMBINE,425.0405927,-1.77814247,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115182001,Crocidura_voi,Crocidura_voi,Crocidura_voi,,3190876.004,3190876.004,0,0.289202595,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,13.4,-0.143486151,Reported,PHYLACINE 1.2.1,0.248205938,-1.082505657,Imputed_825,COMBINE,421.2661977,-1.78952097,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115182133,Crocidura_yankariensis,Crocidura_yankariensis,Crocidura_yankariensis,,1521775.768,1521775.768,0,-0.044565221,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,5,-0.143489891,Reported,PHYLACINE 1.2.1,0.19644378,-1.16272554,Imputed_825,COMBINE,445.5110721,-1.718139028,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
45194782,Crocuta_crocuta,Crocuta_crocuta,Crocuta_crocuta,,15904007.48,15901016.46,0,1.013199914,0.999811933,0.226662842,Extraction of polygon shapefile using R packages,IUCN Red List,62999.9,-0.115442252,Reported,PHYLACINE 1.2.1,152.7000696,1.120180853,Imputed_825,COMBINE,5054.41125,1.380160609,Imputed_825,COMBINE,,Least Concern,No,No,No,No,Yes,No,No,No,No,No,No,No
